Var1_1,Var1_2,Var1_3
0.442,4,1.2133
0.443,4,1.1683
0.444,4,1.0805
0.445,4,1.1847
0.447,4,1.1661
0.448,4,1.1574
0.449,4,1.149
0.45,4,1.024
0.451,4,1.1062
0.452,4,1.2291
0.453,4,1.1419
0.454,4,1.1736
0.455,4,1.1938
0.456,4,1.1788
0.457,4,1.0862
0.458,4,1.1015
0.459,4,1.2222
0.46,4,1.1759
0.461,4,1.1463
0.462,4,1.1156
0.463,4,1.1907
0.464,4,1.1272
0.466,4,1.1565
0.467,4,1.0804
0.468,4,1.1589
0.469,4,1.1411
0.47,4,1.1919
0.471,4,1.0815
0.472,4,1.2089
0.473,4,1.1794
0.474,4,1.1209
0.475,4,1.1563
0.476,4,1.1357
0.477,4,1.2099
0.478,4,1.1605
0.479,4,1.1175
0.48,4,1.1914
0.481,4,1.1277
0.482,4,1.1898
0.483,4,1.2197
0.484,4,1.1502
0.485,4,1.2147
0.486,4,1.1707
0.488,4,1.0995
0.489,4,1.2006
0.49,4,1.1372
0.491,4,1.1665
0.492,4,1.1946
0.493,4,1.1235
0.494,4,1.1989
0.495,4,1.1477
0.496,4,1.1506
0.497,4,1.13
0.498,4,1.1704
0.499,4,1.1757
0.5,4,1.2125
0.501,4,1.1421
0.502,4,1.2142
0.503,4,1.1729
0.504,4,1.1394
0.505,4,1.1033
0.506,4,1.2025
0.507,4,1.1418
0.508,4,1.1721
0.509,4,1.2012
0.51,4,1.1656
0.511,4,1.0904
0.512,4,1.1554
0.513,4,1.1605
0.514,4,1.1418
0.515,4,1.1829
0.516,4,1.0857
0.517,4,1.2221
0.518,4,1.1101
0.519,4,1.235
0.52,4,1.1837
0.521,4,1.1491
0.522,4,1.1733
0.523,4,1.1289
0.524,4,1.1844
0.525,4,1.1082
0.526,4,1.2291
0.527,4,1.1761
0.528,4,1.0929
0.529,4,1.2005
0.53,4,1.1473
0.531,4,1.1771
