f_Hz,S21_dB
2.91743e+06,-87.4012
2.95121e+06,-87.2308
2.98538e+06,-87.0643
3.01995e+06,-86.902
3.05492e+06,-86.7438
3.0903e+06,-86.5899
3.12608e+06,-86.4401
3.16228e+06,-86.2945
3.1989e+06,-86.153
3.23594e+06,-86.0155
3.27341e+06,-85.882
3.31131e+06,-85.7524
3.34965e+06,-85.6266
3.38844e+06,-85.5045
3.42768e+06,-85.3859
3.46737e+06,-85.2709
3.50752e+06,-85.1592
3.54813e+06,-85.0508
3.58922e+06,-84.9456
3.63078e+06,-84.8435
3.67282e+06,-84.7444
3.71535e+06,-84.6482
3.75837e+06,-84.5547
3.80189e+06,-84.464
3.84592e+06,-84.3759
3.89045e+06,-84.2903
3.9355e+06,-84.2072
3.98107e+06,-84.1264
4.02717e+06,-84.0479
4.0738e+06,-83.9716
4.12098e+06,-83.8975
4.16869e+06,-83.8254
4.21697e+06,-83.7553
4.2658e+06,-83.6871
4.31519e+06,-83.6208
4.36516e+06,-83.5563
4.4157e+06,-83.4935
4.46684e+06,-83.4324
4.51856e+06,-83.3729
4.57088e+06,-83.3149
4.62381e+06,-83.2585
4.67735e+06,-83.2035
4.73151e+06,-83.1499
4.7863e+06,-83.0977
4.84172e+06,-83.0468
4.89779e+06,-82.9972
4.9545e+06,-82.9487
5.01187e+06,-82.9015
5.06991e+06,-82.8553
5.12861e+06,-82.8102
5.188e+06,-82.7662
5.24807e+06,-82.7232
5.30884e+06,-82.6811
5.37032e+06,-82.64
5.4325e+06,-82.5997
5.49541e+06,-82.5603
5.55904e+06,-82.5217
5.62341e+06,-82.4838
5.68853e+06,-82.4467
5.7544e+06,-82.4102
5.82103e+06,-82.3745
5.88844e+06,-82.3393
5.95662e+06,-82.3047
6.0256e+06,-82.2706
6.09537e+06,-82.2371
6.16595e+06,-82.204
6.23735e+06,-82.1714
6.30957e+06,-82.1391
6.38263e+06,-82.1072
6.45654e+06,-82.0756
6.53131e+06,-82.0443
6.60693e+06,-82.0132
6.68344e+06,-81.9822
6.76083e+06,-81.9514
6.83912e+06,-81.9207
6.91831e+06,-81.89
6.99842e+06,-81.8594
7.07946e+06,-81.8286
7.16143e+06,-81.7978
7.24436e+06,-81.7668
7.32825e+06,-81.7355
7.4131e+06,-81.7039
7.49894e+06,-81.672
7.58578e+06,-81.6397
7.67361e+06,-81.6068
7.76247e+06,-81.5734
7.85236e+06,-81.5392
7.94328e+06,-81.5044
8.03526e+06,-81.4686
8.12831e+06,-81.432
8.22243e+06,-81.3942
8.31764e+06,-81.3553
8.41395e+06,-81.3151
8.51138e+06,-81.2735
8.60994e+06,-81.2303
8.70964e+06,-81.1854
8.81049e+06,-81.1386
8.91251e+06,-81.0898
9.01571e+06,-81.0387
9.12011e+06,-80.9852
9.22571e+06,-80.929
9.33254e+06,-80.8699
9.44061e+06,-80.8077
9.54993e+06,-80.7421
9.66051e+06,-80.6729
9.77237e+06,-80.5997
9.88553e+06,-80.5222
1e+07,-80.4401
1.01158e+07,-80.3531
1.02329e+07,-80.2609
1.03514e+07,-80.163
1.04713e+07,-80.0592
1.05925e+07,-79.9493
1.07152e+07,-79.8328
1.08393e+07,-79.7097
1.09648e+07,-79.58
1.10917e+07,-79.4438
1.12202e+07,-79.3015
1.13501e+07,-79.1538
1.14815e+07,-79.0022
1.16145e+07,-78.8484
1.1749e+07,-78.6955
1.1885e+07,-78.5474
1.20226e+07,-78.4097
1.21619e+07,-78.2897
1.23027e+07,-78.1964
1.24451e+07,-78.141
1.25893e+07,-78.1358
1.2735e+07,-78.194
1.28825e+07,-78.3276
1.30317e+07,-78.5458
1.31826e+07,-78.8531
1.33352e+07,-79.2485
1.34896e+07,-79.725
1.36458e+07,-80.2709
1.38038e+07,-80.8715
1.39637e+07,-81.5113
1.41254e+07,-82.1749
1.42889e+07,-82.8487
1.44544e+07,-83.5212
1.46218e+07,-84.1829
1.47911e+07,-84.8265
1.49624e+07,-85.4467
1.51356e+07,-86.0395
1.53109e+07,-86.6028
1.54882e+07,-87.1353
1.56675e+07,-87.6369
1.58489e+07,-88.1084
1.60325e+07,-88.5511
1.62181e+07,-88.9668
1.64059e+07,-89.3578
1.65959e+07,-89.7266
1.6788e+07,-90.0755
1.69824e+07,-90.4074
1.71791e+07,-90.7246
1.7378e+07,-91.0296
1.75792e+07,-91.3246
1.77828e+07,-91.6116
1.79887e+07,-91.8924
1.8197e+07,-92.1685
1.84077e+07,-92.4412
1.86209e+07,-92.7114
1.88365e+07,-92.9796
1.90546e+07,-93.246
1.92752e+07,-93.5105
1.94984e+07,-93.7722
1.97242e+07,-94.0298
1.99526e+07,-94.2815
2.01837e+07,-94.5245
2.04174e+07,-94.7554
2.06538e+07,-94.97
2.0893e+07,-95.1631
2.11349e+07,-95.3289
2.13796e+07,-95.4611
2.16272e+07,-95.5533
2.18776e+07,-95.5992
2.21309e+07,-95.5935
2.23872e+07,-95.5325
2.26464e+07,-95.4139
2.29087e+07,-95.2381
2.31739e+07,-95.0074
2.34423e+07,-94.7259
2.37137e+07,-94.3993
2.39883e+07,-94.0341
2.42661e+07,-93.6369
2.45471e+07,-93.2144
2.48313e+07,-92.7727
2.51189e+07,-92.3171
2.54097e+07,-91.8524
2.5704e+07,-91.3822
2.60016e+07,-90.9099
2.63027e+07,-90.4379
2.66073e+07,-89.9681
2.69153e+07,-89.5022
2.7227e+07,-89.0411
2.75423e+07,-88.5858
2.78612e+07,-88.1368
2.81838e+07,-87.6945
2.85102e+07,-87.2591
2.88403e+07,-86.8307
